Code,Decimal,Description,Abbreviation / Key
U+0240,576,Latin Small Letter Z with swash tail,ɀ
U+0241,577,Latin Capital Letter Glottal Stop,Ɂ
U+0242,578,Latin Small Letter Glottal Stop,ɂ
U+0243,579,Latin Capital Letter B with stroke,Ƀ
U+0244,580,Latin Capital Letter U bar,Ʉ
U+0245,581,Latin Capital Letter Turned V,Ʌ
U+0246,582,Latin Capital Letter E with stroke,Ɇ
U+0247,583,Latin Small Letter E with stroke,ɇ
U+0248,584,Latin Capital Letter J with stroke,Ɉ
U+0249,585,Latin Small Letter J with stroke,ɉ
U+024A,586,Latin Capital Letter Q with hook tail,Ɋ
U+024B,587,Latin Small Letter Q with hook tail,ɋ
U+024C,588,Latin Capital Letter R with stroke,Ɍ
U+024D,589,Latin Small Letter R with stroke,ɍ
U+024E,590,Latin Capital Letter Y with stroke,Ɏ
U+024F,591,Latin Small Letter Y with stroke,ɏ
U+1E00,NaN,Latin Capital Letter A with ring below,Ḁ
U+1E01,NaN,Latin Small Letter A with ring below,ḁ
U+1E02,NaN,Latin Capital Letter B with dot above,Ḃ
U+1E03,NaN,Latin Small Letter B with dot above,ḃ
U+1E04,NaN,Latin Capital Letter B with dot below,Ḅ
U+1E05,NaN,Latin Small Letter B with dot below,ḅ
U+1E06,NaN,Latin Capital Letter B with line below,Ḇ
U+1E07,NaN,Latin Small Letter B with line below,ḇ
U+1E08,NaN,Latin Capital Letter C with cedilla and acute,Ḉ
U+1E09,NaN,Latin Small Letter C with cedilla and acute,ḉ
U+1E0A,NaN,Latin Capital Letter D with dot above,Ḋ
U+1E0B,NaN,Latin Small Letter D with dot above,ḋ
U+1E0C,NaN,Latin Capital Letter D with dot below,Ḍ
U+1E0D,NaN,Latin Small Letter D with dot below,ḍ
U+1E0E,NaN,Latin Capital Letter D with line below,Ḏ
U+1E0F,NaN,Latin Small Letter D with line below,ḏ
U+1E10,NaN,Latin Capital Letter D with cedilla,Ḑ
U+1E11,NaN,Latin Small Letter D with cedilla,ḑ
U+1E12,NaN,Latin Capital Letter D with circumflex below,Ḓ
U+1E13,NaN,Latin Small Letter D with circumflex below,ḓ
U+1E14,NaN,Latin Capital Letter E with macron and grave,Ḕ
U+1E15,NaN,Latin Small Letter E with macron and grave,ḕ
U+1E16,NaN,Latin Capital Letter E with macron and acute,Ḗ
U+1E17,NaN,Latin Small Letter E with macron and acute,ḗ
U+1E18,NaN,Latin Capital Letter E with circumflex below,Ḙ
U+1E19,NaN,Latin Small Letter E with circumflex below,ḙ
U+1E1A,NaN,Latin Capital Letter E with tilde below,Ḛ
U+1E1B,NaN,Latin Small Letter E with tilde below,ḛ
U+1E1C,NaN,Latin Capital Letter E with cedilla and breve,Ḝ
U+1E1D,NaN,Latin Small Letter E with cedilla and breve,ḝ
U+1E1E,NaN,Latin Capital Letter F with dot above,Ḟ
U+1E1F,NaN,Latin Small Letter F with dot above,ḟ
U+1E20,NaN,Latin Capital Letter G with macron,Ḡ
U+1E21,NaN,Latin Small Letter G with macron,ḡ
U+1E22,NaN,Latin Capital Letter H with dot above,Ḣ
U+1E23,NaN,Latin Small Letter H with dot above,ḣ
U+1E24,NaN,Latin Capital Letter H with dot below,Ḥ
U+1E25,NaN,Latin Small Letter H with dot below,ḥ
U+1E26,NaN,Latin Capital Letter H with diaeresis,Ḧ
U+1E27,NaN,Latin Small Letter H with diaeresis,ḧ
U+1E28,NaN,Latin Capital Letter H with cedilla,Ḩ
U+1E29,NaN,Latin Small Letter H with cedilla,ḩ
U+1E2A,NaN,Latin Capital Letter H with breve below,Ḫ
U+1E2B,NaN,Latin Small Letter H with breve below,ḫ
U+1E2C,NaN,Latin Capital Letter I with tilde below,Ḭ
U+1E2D,NaN,Latin Small Letter I with tilde below,ḭ
U+1E2E,NaN,Latin Capital Letter I with diaeresis and acute,Ḯ
U+1E2F,NaN,Latin Small Letter I with diaeresis and acute,ḯ
U+1E30,NaN,Latin Capital Letter K with acute,Ḱ
U+1E31,NaN,Latin Small Letter K with acute,ḱ
U+1E32,NaN,Latin Capital Letter K with dot below,Ḳ
U+1E33,NaN,Latin Small Letter K with dot below,ḳ
U+1E34,NaN,Latin Capital Letter K with line below,Ḵ
U+1E35,NaN,Latin Small Letter K with line below,ḵ
U+1E36,NaN,Latin Capital Letter L with dot below,Ḷ
U+1E37,NaN,Latin Small Letter L with dot below,ḷ
U+1E38,NaN,Latin Capital Letter L with dot below and macron,Ḹ
U+1E39,NaN,Latin Small Letter L with dot below and macron,ḹ
U+1E3A,NaN,Latin Capital Letter L with line below,Ḻ
U+1E3B,NaN,Latin Small Letter L with line below,ḻ
U+1E3C,NaN,Latin Capital Letter L with circumflex below,Ḽ
U+1E3D,NaN,Latin Small Letter L with circumflex below,ḽ
U+1E3E,NaN,Latin Capital Letter M with acute,Ḿ
U+1E3F,NaN,Latin Small Letter M with acute,ḿ
U+1E40,NaN,Latin Capital Letter M with dot above,Ṁ
U+1E41,NaN,Latin Small Letter M with dot above,ṁ
U+1E42,NaN,Latin Capital Letter M with dot below,Ṃ
U+1E43,NaN,Latin Small Letter M with dot below,ṃ
U+1E44,NaN,Latin Capital Letter N with dot above,Ṅ
U+1E45,NaN,Latin Small Letter N with dot above,ṅ
U+1E46,NaN,Latin Capital Letter N with dot below,Ṇ
U+1E47,NaN,Latin Small Letter N with dot below,ṇ
U+1E48,NaN,Latin Capital Letter N with line below,Ṉ
U+1E49,NaN,Latin Small Letter N with line below,ṉ
U+1E4A,NaN,Latin Capital Letter N with circumflex below,Ṋ
U+1E4B,NaN,Latin Small Letter N with circumflex below,ṋ
U+1E4C,NaN,Latin Capital Letter O with tilde and acute,Ṍ
U+1E4D,NaN,Latin Small Letter O with tilde and acute,ṍ
U+1E4E,NaN,Latin Capital Letter O with tilde and diaeresis,Ṏ
U+1E4F,NaN,Latin Small Letter O with tilde and diaeresis,ṏ
U+1E50,NaN,Latin Capital Letter O with macron and grave,Ṑ
U+1E51,NaN,Latin Small Letter O with macron and grave,ṑ
U+1E52,NaN,Latin Capital Letter O with macron and acute,Ṓ
U+1E53,NaN,Latin Small Letter O with macron and acute,ṓ
U+1E54,NaN,Latin Capital Letter P with acute,Ṕ
U+1E55,NaN,Latin Small Letter P with acute,ṕ
U+1E56,NaN,Latin Capital Letter P with dot above,Ṗ
U+1E57,NaN,Latin Small Letter P with dot above,ṗ
U+1E58,NaN,Latin Capital Letter R with dot above,Ṙ
U+1E59,NaN,Latin Small Letter R with dot above,ṙ
U+1E5A,NaN,Latin Capital Letter R with dot below,Ṛ
U+1E5B,NaN,Latin Small Letter R with dot below,ṛ
U+1E5C,NaN,Latin Capital Letter R with dot below and macron,Ṝ
U+1E5D,NaN,Latin Small Letter R with dot below and macron,ṝ
U+1E5E,NaN,Latin Capital Letter R with line below,Ṟ
U+1E5F,NaN,Latin Small Letter R with line below,ṟ
U+1E60,NaN,Latin Capital Letter S with dot above,Ṡ
U+1E61,NaN,Latin Small Letter S with dot above,ṡ
U+1E62,NaN,Latin Capital Letter S with dot below,Ṣ
U+1E63,NaN,Latin Small Letter S with dot below,ṣ
U+1E64,NaN,Latin Capital Letter S with acute and dot above,Ṥ
U+1E65,NaN,Latin Small Letter S with acute and dot above,ṥ
U+1E66,NaN,Latin Capital Letter S with caron and dot above,Ṧ
U+1E67,NaN,Latin Small Letter S with caron and dot above,ṧ
U+1E68,NaN,Latin Capital Letter S with dot below and dot above,Ṩ
U+1E69,NaN,Latin Small Letter S with dot below and dot above,ṩ
U+1E6A,NaN,Latin Capital Letter T with dot above,Ṫ
U+1E6B,NaN,Latin Small Letter T with dot above,ṫ
U+1E6C,NaN,Latin Capital Letter T with dot below,Ṭ
U+1E6D,NaN,Latin Small Letter T with dot below,ṭ
U+1E6E,NaN,Latin Capital Letter T with line below,Ṯ
U+1E6F,NaN,Latin Small Letter T with line below,ṯ
U+1E70,NaN,Latin Capital Letter T with circumflex below,Ṱ
U+1E71,NaN,Latin Small Letter T with circumflex below,ṱ
U+1E72,NaN,Latin Capital Letter U with diaeresis below,Ṳ
U+1E73,NaN,Latin Small Letter U with diaeresis below,ṳ
U+1E74,NaN,Latin Capital Letter U with tilde below,Ṵ
U+1E75,NaN,Latin Small Letter U with tilde below,ṵ
U+1E76,NaN,Latin Capital Letter U with circumflex below,Ṷ
U+1E77,NaN,Latin Small Letter U with circumflex below,ṷ
U+1E78,NaN,Latin Capital Letter U with tilde and acute,Ṹ
U+1E79,NaN,Latin Small Letter U with tilde and acute,ṹ
U+1E7A,NaN,Latin Capital Letter U with macron and diaeresis,Ṻ
U+1E7B,NaN,Latin Small Letter U with macron and diaeresis,ṻ
U+1E7C,NaN,Latin Capital Letter V with tilde,Ṽ
U+1E7D,NaN,Latin Small Letter V with tilde,ṽ
U+1E7E,NaN,Latin Capital Letter V with dot below,Ṿ
U+1E7F,NaN,Latin Small Letter V with dot below,ṿ
U+1E80,NaN,Latin Capital Letter W with grave,Ẁ
U+1E81,NaN,Latin Small Letter W with grave,ẁ
U+1E82,NaN,Latin Capital Letter W with acute,Ẃ
U+1E83,NaN,Latin Small Letter W with acute,ẃ
U+1E84,NaN,Latin Capital Letter W with diaeresis,Ẅ
U+1E85,NaN,Latin Small Letter W with diaeresis,ẅ
U+1E86,NaN,Latin Capital Letter W with dot above,Ẇ
U+1E87,NaN,Latin Small Letter W with dot above,ẇ
U+1E88,NaN,Latin Capital Letter W with dot below,Ẉ
U+1E89,NaN,Latin Small Letter W with dot below,ẉ
U+1E8A,NaN,Latin Capital Letter X with dot above,Ẋ
U+1E8B,NaN,Latin Small Letter X with dot above,ẋ
U+1E8C,NaN,Latin Capital Letter X with diaeresis,Ẍ
U+1E8D,NaN,Latin Small Letter X with diaeresis,ẍ
U+1E8E,NaN,Latin Capital Letter Y with dot above,Ẏ
U+1E8F,NaN,Latin Small Letter Y with dot above,ẏ
U+1E90,NaN,Latin Capital Letter Z with circumflex,Ẑ
U+1E91,NaN,Latin Small Letter Z with circumflex,ẑ
U+1E92,NaN,Latin Capital Letter Z with dot below,Ẓ
U+1E93,NaN,Latin Small Letter Z with dot below,ẓ
U+1E94,NaN,Latin Capital Letter Z with line below,Ẕ
U+1E95,NaN,Latin Small Letter Z with line below,ẕ
U+1E96,NaN,Latin Small Letter H with line below,ẖ
U+1E97,NaN,Latin Small Letter T with diaeresis,ẗ
U+1E98,NaN,Latin Small Letter W with ring above,ẘ
U+1E99,NaN,Latin Small Letter Y with ring above,ẙ
U+1E9A,NaN,Latin Small Letter A with right half ring,ẚ
U+1E9B,NaN,Latin Small Letter Long S with dot above,ẛ
U+1E9C,NaN,Latin Small Letter Long S with diagonal stroke,ẜ
U+1E9D,NaN,Latin Small Letter Long S with high stroke,ẝ
U+1E9E,NaN,Latin Capital Letter Sharp S,ẞ
U+1E9F,NaN,Latin Small Letter Delta,ẟ
U+1EA0,NaN,Latin Capital Letter A with dot below,Ạ
U+1EA1,NaN,Latin Small Letter A with dot below,ạ
U+1EA2,NaN,Latin Capital Letter A with hook above,Ả
U+1EA3,NaN,Latin Small Letter A with hook above,ả
U+1EA4,NaN,Latin Capital Letter A with circumflex and acute,Ấ
U+1EA5,NaN,Latin Small Letter A with circumflex and acute,ấ
U+1EA6,NaN,Latin Capital Letter A with circumflex and grave,Ầ
U+1EA7,NaN,Latin Small Letter A with circumflex and grave,ầ
U+1EA8,NaN,Latin Capital Letter A with circumflex and hook above,Ẩ
U+1EA9,NaN,Latin Small Letter A with circumflex and hook above,ẩ
U+1EAA,NaN,Latin Capital Letter A with circumflex and tilde,Ẫ
U+1EAB,NaN,Latin Small Letter A with circumflex and tilde,ẫ
U+1EAC,NaN,Latin Capital Letter A with circumflex and dot below,Ậ
U+1EAD,NaN,Latin Small Letter A with circumflex and dot below,ậ
U+1EAE,NaN,Latin Capital Letter A with breve and acute,Ắ
U+1EAF,NaN,Latin Small Letter A with breve and acute,ắ
U+1EB0,NaN,Latin Capital Letter A with breve and grave,Ằ
U+1EB1,NaN,Latin Small Letter A with breve and grave,ằ
U+1EB2,NaN,Latin Capital Letter A with breve and hook above,Ẳ
U+1EB3,NaN,Latin Small Letter A with breve and hook above,ẳ
U+1EB4,NaN,Latin Capital Letter A with breve and tilde,Ẵ
U+1EB5,NaN,Latin Small Letter A with breve and tilde,ẵ
U+1EB6,NaN,Latin Capital Letter A with breve and dot below,Ặ
U+1EB7,NaN,Latin Small Letter A with breve and dot below,ặ
U+1EB8,NaN,Latin Capital Letter E with dot below,Ẹ
U+1EB9,NaN,Latin Small Letter E with dot below,ẹ
U+1EBA,NaN,Latin Capital Letter E with hook above,Ẻ
U+1EBB,NaN,Latin Small Letter E with hook above,ẻ
U+1EBC,NaN,Latin Capital Letter E with tilde,Ẽ
U+1EBD,NaN,Latin Small Letter E with tilde,ẽ
U+1EBE,NaN,Latin Capital Letter E with circumflex and acute,Ế
U+1EBF,NaN,Latin Small Letter E with circumflex and acute,ế
U+1EC0,NaN,Latin Capital Letter E with circumflex and grave,Ề
U+1EC1,NaN,Latin Small Letter E with circumflex and grave,ề
U+1EC2,NaN,Latin Capital Letter E with circumflex and hook above,Ể
U+1EC3,NaN,Latin Small Letter E with circumflex and hook above,ể
U+1EC4,NaN,Latin Capital Letter E with circumflex and tilde,Ễ
U+1EC5,NaN,Latin Small Letter E with circumflex and tilde,ễ
U+1EC6,NaN,Latin Capital Letter E with circumflex and dot below,Ệ
U+1EC7,NaN,Latin Small Letter E with circumflex and dot below,ệ
U+1EC8,NaN,Latin Capital Letter I with hook above,Ỉ
U+1EC9,NaN,Latin Small Letter I with hook above,ỉ
U+1ECA,NaN,Latin Capital Letter I with dot below,Ị
U+1ECB,NaN,Latin Small Letter I with dot below,ị
U+1ECC,NaN,Latin Capital Letter O with dot below,Ọ
U+1ECD,NaN,Latin Small Letter O with dot below,ọ
U+1ECE,NaN,Latin Capital Letter O with hook above,Ỏ
U+1ECF,NaN,Latin Small Letter O with hook above,ỏ
U+1ED0,NaN,Latin Capital Letter O with circumflex and acute,Ố
U+1ED1,NaN,Latin Small Letter O with circumflex and acute,ố
U+1ED2,NaN,Latin Capital Letter O with circumflex and grave,Ồ
U+1ED3,NaN,Latin Small Letter O with circumflex and grave,ồ
U+1ED4,NaN,Latin Capital Letter O with circumflex and hook above,Ổ
U+1ED5,NaN,Latin Small Letter O with circumflex and hook above,ổ
U+1ED6,NaN,Latin Capital Letter O with circumflex and tilde,Ỗ
U+1ED7,NaN,Latin Small Letter O with circumflex and tilde,ỗ
U+1ED8,NaN,Latin Capital Letter O with circumflex and dot below,Ộ
U+1ED9,NaN,Latin Small Letter O with circumflex and dot below,ộ
U+1EDA,NaN,Latin Capital Letter O with horn and acute,Ớ
U+1EDB,NaN,Latin Small Letter O with horn and acute,ớ
U+1EDC,NaN,Latin Capital Letter O with horn and grave,Ờ
U+1EDD,NaN,Latin Small Letter O with horn and grave,ờ
U+1EDE,NaN,Latin Capital Letter O with horn and hook above,Ở
U+1EDF,NaN,Latin Small Letter O with horn and hook above,ở
U+1EE0,NaN,Latin Capital Letter O with horn and tilde,Ỡ
U+1EE1,NaN,Latin Small Letter O with horn and tilde,ỡ
U+1EE2,NaN,Latin Capital Letter O with horn and dot below,Ợ
U+1EE3,NaN,Latin Small Letter O with horn and dot below,ợ
U+1EE4,NaN,Latin Capital Letter U with dot below,Ụ
U+1EE5,NaN,Latin Small Letter U with dot below,ụ
U+1EE6,NaN,Latin Capital Letter U with hook above,Ủ
U+1EE7,NaN,Latin Small Letter U with hook above,ủ
U+1EE8,NaN,Latin Capital Letter U with horn and acute,Ứ
U+1EE9,NaN,Latin Small Letter U with horn and acute,ứ
U+1EEA,NaN,Latin Capital Letter U with horn and grave,Ừ
U+1EEB,NaN,Latin Small Letter U with horn and grave,ừ
U+1EEC,NaN,Latin Capital Letter U with horn and hook above,Ử
U+1EED,NaN,Latin Small Letter U with horn and hook above,ử
U+1EEE,NaN,Latin Capital Letter U with horn and tilde,Ữ
U+1EEF,NaN,Latin Small Letter U with horn and tilde,ữ
U+1EF0,NaN,Latin Capital Letter U with horn and dot below,Ự
U+1EF1,NaN,Latin Small Letter U with horn and dot below,ự
U+1EF2,NaN,Latin Capital Letter Y with grave,Ỳ
U+1EF3,NaN,Latin Small Letter Y with grave,ỳ
U+1EF4,NaN,Latin Capital Letter Y with dot below,Ỵ
U+1EF5,NaN,Latin Small Letter Y with dot below,ỵ
U+1EF6,NaN,Latin Capital Letter Y with hook above,Ỷ
U+1EF7,NaN,Latin Small Letter Y with hook above,ỷ
U+1EF8,NaN,Latin Capital Letter Y with tilde,Ỹ
U+1EF9,NaN,Latin Small Letter Y with tilde,ỹ
U+1EFA,NaN,Latin Capital Letter Middle-Welsh LL,Ỻ
U+1EFB,NaN,Latin Small Letter Middle-Welsh LL,ỻ
U+1EFC,NaN,Latin Capital Letter Middle-Welsh V,Ỽ
U+1EFD,NaN,Latin Small Letter Middle-Welsh V,ỽ
U+1EFE,NaN,Latin Capital Letter Y with loop,Ỿ
U+1EFF,NaN,Latin Small Letter Y with loop,ỿ
U+0250,592,Latin Small Letter Turned A,ɐ
U+0251,593,Latin Small Letter Alpha,ɑ
U+0252,594,Latin Small Letter Turned Alpha,ɒ
U+0253,595,Latin Small Letter B with Hook,ɓ
U+0254,596,Latin Small Letter Open O,ɔ
U+0255,597,Latin Small Letter C with Curl,ɕ
U+0256,598,Latin Small Letter D with Tail,ɖ
U+0257,599,Latin Small Letter D with Hook,ɗ
U+0258,600,Latin Small Letter Reversed E,ɘ
U+0259,601,Latin Small Letter Schwa,ə
U+025A,602,Latin Small Letter Schwa with Hook,ɚ
U+025B,603,Latin Small Letter Open E,ɛ
U+025C,604,Latin Small Letter Reversed Open E,ɜ
U+025D,605,Latin Small Letter Reversed Open E with Hook,ɝ
U+025E,606,Latin Small Letter Closed Reversed Open E,ɞ
U+025F,607,Latin Small Letter Dotless J with Stroke,ɟ
U+0260,608,Latin Small Letter G with Hook,ɠ
U+0261,609,Latin Small Letter Script G,ɡ
U+0262,610,Latin Letter Small Capital G,ɢ
U+0263,611,Latin Small Letter Gamma,ɣ
U+0264,612,Latin Small Letter Rams Horn,ɤ
U+0265,613,Latin Small Letter Turned H,ɥ
U+0266,614,Latin Small Letter H with Hook,ɦ
U+0267,615,Latin Small Letter Heng with Hook,ɧ
U+0268,616,Latin Small Letter I with Stroke,ɨ
U+0269,617,Latin Small Letter Iota,ɩ
U+026A,618,Latin Letter Small Capital I,ɪ
U+026B,619,Latin Small Letter L with Middle Tilde,ɫ
U+026C,620,Latin Small Letter L with Belt,ɬ
U+026D,621,Latin Small Letter L with Retroflex Hook,ɭ
U+026E,622,Latin Small Letter Lezh,ɮ
U+026F,623,Latin Small Letter Turned M,ɯ
U+0270,624,Latin Small Letter Turned M with Long Leg,ɰ
U+0271,625,Latin Small Letter M with Hook,ɱ
U+0272,626,Latin Small Letter N with Left Hook,ɲ
U+0273,627,Latin Small Letter N with Retroflex Hook,ɳ
U+0274,628,Latin Letter Small Capital N,ɴ
U+0275,629,Latin Small Letter Barred O,ɵ
U+0276,630,Latin Letter Small Capital OE,ɶ
U+0277,631,Latin Small Letter Closed Omega,ɷ
U+0278,632,Latin Small Letter Phi,ɸ
U+0279,633,Latin Small Letter Turned R,ɹ
U+027A,634,Latin Small Letter Turned R with Long Leg,ɺ
U+027B,635,Latin Small Letter Turned R with Hook,ɻ
U+027C,636,Latin Small Letter R with long leg,ɼ
U+027D,637,Latin Small Letter R with Tail,ɽ
U+027E,638,Latin Small Letter R with Fishhook,ɾ
U+027F,639,Latin Small Letter Reversed R with Fishhook,ɿ
U+0280,640,Latin Letter Small Capital R,ʀ
U+0281,641,Latin Letter Small Capital Inverted R,ʁ
U+0282,642,Latin Small Letter S with Hook,ʂ
U+0283,643,Latin Small Letter Esh,ʃ
U+0284,644,Latin Small Letter Dotless J with Stroke and Hook,ʄ
U+0285,645,Latin Small Letter Squat Reversed Esh,ʅ
U+0286,646,Latin Small Letter Esh with Curl,ʆ
U+0287,647,Latin Small Letter Turned T,ʇ
U+0288,648,Latin Small Letter T with Retroflex Hook,ʈ
U+0289,649,Latin Small Letter U Bar,ʉ
U+028A,650,Latin Small Letter Upsilon,ʊ
U+028B,651,Latin Small Letter V with Hook,ʋ
U+028C,652,Latin Small Letter Turned V,ʌ
U+028D,653,Latin Small Letter Turned W,ʍ
U+028E,654,Latin Small Letter Turned Y,ʎ
U+028F,655,Latin Letter Small Capital Y,ʏ
U+0290,656,Latin Small Letter Z with Retroflex Hook,ʐ
U+0291,657,Latin Small Letter Z with Curl,ʑ
U+0292,658,Latin Small Letter Ezh,ʒ
U+0293,659,Latin Small Letter Ezh with Curl,ʓ
U+0294,660,Latin Letter Glottal Stop,ʔ
U+0295,661,Latin Letter Pharyngeal Voiced Fricative,ʕ
U+0296,662,Latin Letter Inverted Glottal Stop,ʖ
U+0297,663,Latin Letter Stretched C,ʗ
U+0298,664,Latin Letter Bilabial Click,ʘ
U+0299,665,Latin Letter Small Capital B,ʙ
U+029A,666,Latin Small Letter Closed Open E,ʚ
U+029B,667,Latin Letter Small Capital G with Hook,ʛ
U+029C,668,Latin Letter Small Capital H,ʜ
U+029D,669,Latin Small Letter J with Crossed Tail,ʝ
U+029E,670,Latin Small Letter Turned K,ʞ
U+029F,671,Latin Letter Small Capital L,ʟ
U+02A0,672,Latin Small Letter Q with Hook,ʠ
U+02A1,673,Latin Letter Glottal Stop with Stroke,ʡ
U+02A2,674,Latin Letter Reversed Glottal Stop with Stroke,ʢ
U+02A3,675,Latin Small Letter DZ Digraph,ʣ
U+02A4,676,Latin Small Letter Dezh Digraph,ʤ
U+02A5,677,Latin Small Letter DZ Digraph with Curl,ʥ
U+02A6,678,Latin Small Letter TS Digraph,ʦ
U+02A7,679,Latin Small Letter Tesh Digraph,ʧ
U+02A8,680,Latin Small Letter TC Digraph with Curl,ʨ
U+02A9,681,Latin Small Letter Feng Digraph,ʩ
U+02AA,682,Latin Small Letter LS Digraph,ʪ
U+02AB,683,Latin Small Letter LZ Digraph,ʫ
U+02AC,684,Latin Letter Bilabial Percussive,ʬ
U+02AD,685,Latin Letter Bidental Percussive,ʭ
U+02AE,686,Latin Small Letter Turned H with Fishhook,ʮ
U+02AF,687,Latin Small Letter Turned H with Fishhook and Tail,ʯ
U+02B0,688,Modifier Letter Small H,ʰ
U+02B1,689,Modifier Letter Small H with hook,ʱ
U+02B2,690,Modifier Letter Small J,ʲ
U+02B3,691,Modifier Letter Small R,ʳ
U+02B4,692,Modifier Letter Small Turned R,ʴ
U+02B5,693,Modifier Letter Small Turned R with hook,ʵ
U+02B6,694,Modifier Letter Small Capital Inverted R,ʶ
U+02B7,695,Modifier Letter Small W,ʷ
U+02B8,696,Modifier Letter Small Y,ʸ
U+02B9,697,Modifier Letter Prime,ʹ
U+02BA,698,Modifier Letter Double Prime,ʺ
U+02BB,699,Modifier Letter Turned Comma,ʻ
U+02BC,700,Modifier Letter Apostrophe,ʼ
U+02BD,701,Modifier Letter Reversed Comma,ʽ
U+02BE,702,Modifier Letter Right Half Ring,ʾ
U+02BF,703,Modifier Letter Left Half Ring,ʿ
U+02C0,704,Modifier Letter Glottal Stop,ˀ
U+02C1,705,Modifier Letter Reversed Glottal Stop,ˁ
U+02C2,706,Modifier Letter Left Arrowhead,˂
U+02C3,707,Modifier Letter Right Arrowhead,˃
U+02C4,708,Modifier Letter Up Arrowhead,˄
U+02C5,709,Modifier Letter Down Arrowhead,˅
U+02C6,710,Modifier Letter Circumflex Accent,ˆ
U+02C7,711,Caron,ˇ
U+02C8,712,Modifier Letter Vertical Line,ˈ
U+02C9,713,Modifier Letter Macron,ˉ
U+02CA,714,Modifier Letter Acute Accent,ˊ
U+02CB,715,Modifier Letter Grave Accent,ˋ
U+02CC,716,Modifier Letter Low Vertical Line,ˌ
U+02CD,717,Modifier Letter Low Macron,ˍ
U+02CE,718,Modifier Letter Low Grave Accent,ˎ
U+02CF,719,Modifier Letter Low Acute Accent,ˏ
U+02D0,720,Modifier Letter Triangular Colon,ː
U+02D1,721,Modifier Letter Half Triangular Colon,ˑ
U+02D2,722,Modifier Letter Centered Right Half Ring,˒
U+02D3,723,Modifier Letter Centered Left Half Ring,˓
U+02D4,724,Modifier Letter Up Tack,˔
U+02D5,725,Modifier Letter Down Tack,˕
U+02D6,726,Modifier Letter Plus Sign,˖
U+02D7,727,Modifier Letter Minus Sign,˗
U+02D8,728,Breve,˘
U+02D9,729,Dot Above,˙
U+02DA,730,Ring Above,˚
U+02DB,731,Ogonek,˛
U+02DC,732,Small Tilde,˜
U+02DD,733,Double Acute Accent,˝
U+02DE,734,Modifier Letter Rhotic Hook,˞
U+02DF,735,Modifier Letter Cross Accent,˟
U+02E0,736,Modifier Letter Small Gamma,ˠ
U+02E1,737,Modifier Letter Small L,ˡ
U+02E2,738,Modifier Letter Small S,ˢ
U+02E3,739,Modifier Letter Small X,ˣ
U+02E4,740,Modifier Letter Small Reversed Glottal Stop,ˤ
U+02E5,741,Modifier Letter Extra-High Tone Bar,˥
U+02E6,742,Modifier Letter High Tone Bar,˦
U+02E7,743,Modifier Letter Mid Tone Bar,˧
U+02E8,744,Modifier Letter Low Tone Bar,˨
U+02E9,745,Modifier Letter Extra-Low Tone Bar,˩
U+02EA,746,Modifier Letter Yin Departing Tone Mark,˪
U+02EB,747,Modifier Letter Yang Departing Tone Mark,˫
U+02EC,748,Modifier Letter Voicing,ˬ
U+02ED,749,Modifier Letter Unaspirated,˭
U+02EE,750,Modifier Letter Double Apostrophe,ˮ
U+02EF,751,Modifier Letter Low Down Arrowhead,˯
U+02F0,752,Modifier Letter Low Up Arrowhead,˰
U+02F1,753,Modifier Letter Low Left Arrowhead,˱
U+02F2,754,Modifier Letter Low Right Arrowhead,˲
U+02F3,755,Modifier Letter Low Ring,˳
U+02F4,756,Modifier Letter Middle Grave Accent,˴
U+02F5,757,Modifier Letter Middle Double Grave Accent,˵
U+02F6,758,Modifier Letter Middle Double Acute Accent,˶
U+02F7,759,Modifier Letter Low Tilde,˷
U+02F8,760,Modifier Letter Raised Colon,˸
U+02F9,761,Modifier Letter Begin High Tone,˹
U+02FA,762,Modifier Letter End High Tone,˺
U+02FB,763,Modifier Letter Begin Low Tone,˻
U+02FC,764,Modifier Letter End Low Tone,˼
U+02FD,765,Modifier Letter Shelf,˽
U+02FE,766,Modifier Letter Open Shelf,˾
U+02FF,767,Modifier Letter Low Left Arrow,˿
U+0300,768,Combining Grave Accent,̀
U+0301,769,Combining Acute Accent,́
U+0302,770,Combining Circumflex Accent,̂
U+0303,771,Combining Tilde,̃
U+0304,772,Combining Macron,̄
U+0305,773,Combining Overline,̅
U+0306,774,Combining Breve,̆
U+0307,775,Combining Dot Above,̇
U+0308,776,Combining Diaeresis,̈
U+0309,777,Combining Hook Above,̉
U+030A,778,Combining Ring Above,̊
U+030B,779,Combining Double Acute Accent,̋
U+030C,780,Combining Caron,̌
U+030D,781,Combining Vertical Line Above,̍
U+030E,782,Combining Double Vertical Line Above,̎
U+030F,783,Combining Double Grave Accent,̏
U+0310,784,Combining Candrabindu,̐
U+0311,785,Combining Inverted Breve,̑
U+0312,786,Combining Turned Comma Above,̒
U+0313,787,Combining Comma Above,̓
U+0314,788,Combining Reversed Comma Above,̔
U+0315,789,Combining Comma Above Right,̕
U+0316,790,Combining Grave Accent Below,̖
U+0317,791,Combining Acute Accent Below,̗
U+0318,792,Combining Left Tack Below,̘
U+0319,793,Combining Right Tack Below,̙
U+031A,794,Combining Left Angle Above,̚
U+031B,795,Combining Horn,̛
U+031C,796,Combining Left Half Ring Below,̜
U+031D,797,Combining Up Tack Below,̝
U+031E,798,Combining Down Tack Below,̞
